trip_id,vehicle_id,shelters_visited
1,0,34;29;32;31;28;37;38;26;40;27;35
2,0,14;3;2
3,0,43;44;47;42;23
4,1,30;39;33;36;9;10;5;7;51;55;53;60;54;58;69;59;52;67;63;64;65;75;76
5,1,2;13;12;4;45;46;41;43
6,1,23
7,2,35;57;56;50;61;72;71;73;68;120;117;118;119;108;97;100;107;102;94;96;147;148;139
8,2,87;86;83;84;127;128;126;132;125;124;133;149;138;139;140;110;145;93;111;122;6;8;11
9,2,23
10,3,62;76;74;66;98;105;103;106;101;109;104;95;112;92;99;113;121;110
11,3,48;43
12,3,23;49;25;18;24;20;21
13,4,91;89;90;82;77;81;79;80;85;131;141;143;136;135;134;115;137;142;114;116;88;70;144;78;130;129;146;124
14,4,123;11;16;15;1
15,4,1;17;21;19;22
